path,title,translatable,notes
id,Identifier or Reference,True,Only the part of the identifier following the prefix can be internationalized.
identifiers,Identifiers,False,
identifiers,Simple identifier,False,
identifiers/id,ID,True,
identifiers/scheme,Scheme,True,
updated,Last updated,False,
title,Project title,True,
description,Project description,True,
status,Status,False,
period,Project period,False,
period,Period,False,
period/startDate,Start date,False,
period/endDate,End date,False,
period/maxExtentDate,Maximum extent,False,
period/durationInDays,Duration (days),False,
sector,Project sector,False,
purpose,Project purpose,True,
additionalClassifications,Additional classifications,False,
additionalClassifications,Classification,False,
additionalClassifications/scheme,Scheme,False,
additionalClassifications/id,ID,True,
additionalClassifications/description,Description,True,
additionalClassifications/uri,URI,False,
type,Project type,False,
relatedProjects,Related projects,False,
relatedProjects,Related project,False,
relatedProjects/id,Relationship ID,True,
relatedProjects/scheme,Scheme,False,
relatedProjects/identifier,Identifier,True,
relatedProjects/relationship,Relationship,False,
relatedProjects/title,Related project title,True,
relatedProjects/uri,Related project URI,False,
assetLifetime,Asset lifetime,False,
assetLifetime,Period,False,
assetLifetime/startDate,Start date,False,
assetLifetime/endDate,End date,False,
assetLifetime/maxExtentDate,Maximum extent,False,
assetLifetime/durationInDays,Duration (days),False,
locations,Project locations,False,
locations,Delivery Location,False,
locations/id,Identifier,True,
locations/description,Description,True,
locations/geometry,Geometry,False,
locations/geometry/type,Type,False,
locations/geometry/coordinates,Coordinates,False,
locations/gazetteer,Gazetteer,False,
locations/gazetteer/scheme,Gazetteer scheme,False,
locations/gazetteer/identifiers,Identifiers,False,
locations/uri,URI,True,
locations/address,Address,False,
locations/address,Address,False,
locations/address/streetAddress,Street address,True,
locations/address/locality,Locality,True,
locations/address/region,Region,True,
locations/address/postalCode,Postal code,True,
locations/address/countryName,Country name,True,
budget,Total project value,False,
budget/description,Description,True,
budget/amount,Amount,False,
budget/amount,Value,False,
budget/amount/amount,Amount,False,
budget/amount/currency,Currency,False,
budget/requestDate,Request date,False,
budget/approvalDate,Approval date,False,
budget/budgetBreakdown,Budget breakdown,False,
budget/budgetBreakdown,Detailed budget breakdown,False,
budget/budgetBreakdown/id,Identifier,True,
budget/budgetBreakdown/description,Description,True,
budget/budgetBreakdown/amount,Amount,False,
budget/budgetBreakdown/amount,Value,False,
budget/budgetBreakdown/amount/amount,Amount,False,
budget/budgetBreakdown/amount/currency,Currency,False,
budget/budgetBreakdown/uri,Linked budget information,False,
budget/budgetBreakdown/period,Budget period,False,
budget/budgetBreakdown/period,Period,False,
budget/budgetBreakdown/period/startDate,Start date,False,
budget/budgetBreakdown/period/endDate,End date,False,
budget/budgetBreakdown/period/maxExtentDate,Maximum extent,False,
budget/budgetBreakdown/period/durationInDays,Duration (days),False,
budget/budgetBreakdown/sourceParty,Source organization,False,
budget/budgetBreakdown/sourceParty,Organization reference,False,
budget/budgetBreakdown/sourceParty/name,Organization name,True,
budget/budgetBreakdown/sourceParty/id,Organization ID,True,
budget/budgetBreakdown/approvalDate,Approval date,False,
forecasts,Forecasts,False,
forecasts,Metric,False,
forecasts/id,Identifier,False,
forecasts/title,Title,True,
forecasts/description,Description,True,
forecasts/observations,Observations,False,
forecasts/observations,Observation,False,
forecasts/observations/id,Identifier,True,
forecasts/observations/period,Period,False,
forecasts/observations/period,Period,False,
forecasts/observations/period/startDate,Start date,False,
forecasts/observations/period/endDate,End date,False,
forecasts/observations/period/maxExtentDate,Maximum extent,False,
forecasts/observations/period/durationInDays,Duration (days),False,
forecasts/observations/value,Value,False,
forecasts/observations/value,Value,False,
forecasts/observations/value/amount,Amount,False,
forecasts/observations/value/currency,Currency,False,
forecasts/observations/measure,Measure,False,Only string measures can be internationalized.
forecasts/observations/unit,Unit,False,
forecasts/observations/unit/name,Unit name,True,
forecasts/observations/unit/scheme,Scheme,False,
forecasts/observations/unit/id,ID,True,
forecasts/observations/unit/uri,URI,False,
forecasts/observations/dimensions,Dimensions,False,
forecasts/observations/notes,Notes,True,
parties,Parties,False,
parties,Organization,False,
parties/name,Common name,True,
parties/id,Entity ID,True,
parties/identifier,Primary identifier,False,
parties/identifier,Identifier,False,
parties/identifier/scheme,Scheme,True,
parties/identifier/id,ID,True,
parties/identifier/legalName,Legal Name,True,
parties/identifier/uri,URI,False,
parties/additionalIdentifiers,Additional identifiers,False,
parties/additionalIdentifiers,Identifier,False,
parties/additionalIdentifiers/scheme,Scheme,True,
parties/additionalIdentifiers/id,ID,True,
parties/additionalIdentifiers/legalName,Legal Name,True,
parties/additionalIdentifiers/uri,URI,False,
parties/address,Address,False,
parties/address,Address,False,
parties/address/streetAddress,Street address,True,
parties/address/locality,Locality,True,
parties/address/region,Region,True,
parties/address/postalCode,Postal code,True,
parties/address/countryName,Country name,True,
