path,title,internationalization,notes
id,Identifier or Reference,True,Only the part of the identifier following the prefix can be internationalized.
updated,Last updated,False,
title,Project title,True,
description,Project description,True,
status,Status,False,
period,Project period,False,
sector,Project sector,False,
purpose,Project purpose,True,
additionalClassifications,Additional classifications,False,
type,Project type,False,
relatedProjects,Related projects,False,
assetLifetime,Asset lifetime,False,
locations,Project locations,False,
budget,Total project value,False,
budget/amount,Amount,False,
budget/requestDate,Request date,False,
budget/approvalDate,Approval date,False,
budget/budgetBreakdown,Budget breakdown,False,
forecasts,Forecasts,False,
parties,Parties,False,
publicAuthority,Public authority,False,
documents,Documents,False,
contractingProcesses,Contracting processes,False,
metrics,Metrics,False,
completion,Completion,False,
completion/endDate,End date,False,
completion/endDateDetails,End date details,True,
completion/finalValue,Final value,False,
completion/finalValueDetails,Final value details,True,
completion/finalScope,Final scope,True,
completion/finalScopeDetails,Final scope details,True,
language,Language,True,
