CoST IDS element,Description,Mapping to OC4IDS,Mapping from OCDS,OC4IDS Fields,OC4IDS Codes
Procuring entity,Enter name of the organization carrying out the procurement,Project Level: Add an entry to `parties` with 'procuringEntity' included in its `.roles` | Contracting process: Record the name and identifier in `.summary.tender.procuringEntity`,"Check the `/parties` array for `Organization` objects with 'procuringEntity' in `/roles`. Copy each object to the `parties` array in OC4IDS. If there is more than one procuring entity, do not set `.summary.tender.procuringEntity.name` and `.summary.tender.procuringEntity.id`; otherwise, set them to the procuring entity's `.name` and `.id`.","parties,parties/id,parties/name,parties/role,contractingProcesses,contractingProcesses/summary,contractingProcesses/summary/tender,contractingProcesses/summary/tender/procuringEntity,contractingProcesses/summary/tender/procuringEntity/id,contractingProcesses/summary/tender/procuringEntity/name",parties/roles='procuringEntity'
Procuring entity contact details,Postal and Electronic address,Project Level: Publish the postal address in `parties.address` and the electronic address in `parties.contactPoint`,"Check the `/parties` array for `Organization` objects with 'procuringEntity' in `/roles`. Copy each object to the `parties` array in OC4IDS. If there is more than one procuring entity, do not set `.summary.tender.procuringEntity.name` and `.summary.tender.procuringEntity.id`; otherwise, set them to the procuring entity's `.name` and `.id`.","parties,parties/address,parties/address/streetAddress,parties/address/locality,parties/address/region,parties/address/postalCode,parties/address/countryName,parties/contactPoint,parties/contactPoint/email",parties/roles='procuringEntity'
Contract administrative entity,Enter name of the organization carrying out the contract administrative entity if different from the Procuring Entity,Project Level: Add an entry to `parties` with 'administrativeEntity' included in its `.roles` | Contracting process: Record the name and identifier in `.summary.tender.administrativeEntity`,"Check the `/parties` array for `Organization` objects with 'administrativeEntity' in `/roles`. Copy each object to the `parties` array in OC4IDS. If there is more than one procuring entity, do not set `.summary.tender.administrativeEntity.name` and `.summary.tender.administrativeEntity.id`; otherwise, set them to the procuring entity's `.name` and `.id`.","parties,parties/id,parties/name,parties/role,contractingProcesses,contractingProcesses/summary,contractingProcesses/summary/tender,contractingProcesses/summary/tender/administrativeEntity,contractingProcesses/summary/tender/administrativeEntity/id,contractingProcesses/summary/tender/administrativeEntity/name",parties/roles='administrativeEntity'
Contract status,"Select from pre-award, active or closed",Contracting process: Publish in `.summary.status` using the contractingProcessStatus codelist,Set `.summary.status` to a value from the contractingProcessStatus codelist according to the business logic in the codelist.,"contractingProcesses,contractingProcesses/summary,contractingProcesses/summary/status",
Procurement process,"Develop a list such as International Competitive Bidding, National Competitive Bidding, Donor Procurement Rules, Framework, Direct Award",Contracting process: Publish in `.summary.tender.procurementMethodDetails` and map to `.summary.tender.procurementMethod`,Set `.summary.tender.procurementMethod` and `.summary.tender.procurementMethodDetails`to the values of `/tender/procurementMethod` and `/tender/procurementMethodDetails` respectively.,"contractingProcesses/summary/tender/procurementMethodDetails,contractingProcesses/summary/tender/procurementMethod",
Contract type,"Develop a list such as Design, Supervision, Design & Supervision, Design & Build, Construction","Contracting process: Add one or more values to the `.summary.nature` array. (e.g. [""design"", ""build""] for a design and build contract)",*Map from `/tender/items/classification` or `/tender/items/additionalClassifications` or infer from `/tender/description`.*,"contractingProcesses,contractingProcesses/summary,contractingProcesses/summary/nature",
Number of firms tendering,Number of firms who submit a tender,Contracting process: Publish in `.summary.tender.numberOfTenderers`,Set `.summary.numberOfTenderers` to the value of `/tender/numberOfTenderers`.,"contractingProcesses,contractingProcesses/summary,contractingProcesses/summary/tender,contractingProcesses/summary/tender/numberOfTenderers",
Cost estimate,Currency and amount of the original pre-tender estimate of the contract,Contracting process: Publish in `.summary.tender.costEstimate`,Check the individual releases for the contracting process and set `.summary.tender.costEstimate` to the value of `/tender/value` in the most recent release with `/tender/status` set to 'planning'.,"contractingProcesses,contractingProcesses/summary,contractingProcesses/summary/tender,contractingProcesses/summary/tender/costEstimate",
Contract title,The formal name of the contract,Contracting process: Publish in `.summary.title`,"If the contracting process has only one `Contract` object in `/contracts`, set `.summary.title` to the value of the contract's `/title`; if not available and the contracting process has only one `Award` object in `/awards`, use its `/title`. Otherwise, use `/tender/title`.","contractingProcesses,contractingProcesses/summary,contractingProcesses/summary/title",
Contract firm(s),Legal name of supplier,Project Level: Add an entries to `parties` with 'supplier' included in their `.roles` | Contracting process: Add the names and identifiers to the `.summary.suppliers` array,"Check the `/parties` array for `Organization` objects with 'supplier' in `/roles`. For each such object, copy it to the `parties` array in OC4IDS, add an `OrganizationReference` object to `.summary.suppliers` and set the `.name` and `.id` of the `OrganizationReference` to the `.name` and `.id` of the `Organization`.","contractingProcesses,contractingProcesses/summary,contractingProcesses/summary/suppliers",parties/roles='supplier'
Contract price,Currency and price at contract award,Contracting process: Publish in `.summary.contractValue`,"If the value of `/value/currency` is the same for all `Award` objects in `/awards`, set `.summary.contractValue.amount` to the sum of `/value/amount` in each `Award` object and set `.summary.contractValue.currency` to the value of `/value/currency`.  *Otherwise, convert `/value/amount` in each `Award` object to a base currency, set `.summary.contractValue.amount` to the sum of the converted values and set `.summary.contractValue.currency` to the base currency.*","contractingProcesses,contractingProcesses/summary,contractingProcesses/summary/contractValue",
Contract scope of work,"Main outputs from the contract e.g. detailed design, supervision, project management and or type, quantity, unit for construction",Contracting process: Publish in `.summary.description`. Additionally detailed documentation may be provided as documents within linked releases,"If there is more than one `Contract` object in `/contracts` or more than one `Award` object in `/awards`, set `.summary.description` to the value of `/tender/description`; if unavailable and if there is only one `Item` object in `/tender/items`, then set `.summary.description` to the value of the item's `/description`.

Otherwise, if there is only one `Award` or `Contract` object with a `/description` field, set `.summary.description` to the value of the object's `/description`.

Otherwise, if there is only one `Item` with a `/description` field in `/awards/items` and `/contracts/items`, set `.summary.description` to the value of the item's `/description`.","contractingProcesses,contractingProcesses/summary,contractingProcesses/summary/description",
