Code,Title,Description,Source
needsAssessment,Needs Assessment,"Documentation of the needs assessments carried out for this contracting process or project addressing demand for the project or investment from the affected communities or users.",OC4IDS
valueForMoneyAnalysis,Value for money analysis,"A summary of the value for money analysis carried out for the project, along with supporting figures, calculations and business case, based on projected or actual procurement outcomes.",OCDS for PPPs
technicalSpecifications,Technical Specifications,Detailed technical information about goods or services to be provided.,OCDS for PPPs
serviceDescription,Service descriptions,A high-level description of the services,OCDS for PPPs
estimatedDemand,Estimated demand,A narrative describing the estimated demand to be served (annually) by the project.,OCDS for PPPs
contractDraft,Contract draft,A draft or pro-forma copy of the contract.,OCDS for PPPs
contractSchedule,Contract schedules,"Any document which contains additional terms, obligations or information related to the contract, such as a schedule, appendix, annex, attachment or addendum.",OCDS
contractSigned,Signed Contract,"A copy of the signed contract. Consider providing both machine-readable (e.g. original PDF, Word or Open Document format files), and a separate document entry for scanned-signed pages where this is required.",OCDS for PPPs
feasibilityStudy,Feasibility study,"Documentation of feasibility studies carried out for this contracting process, providing information on net benefits or costs of the proposed goods, works or services.",OCDS for PPPs
environmentalImpact,Environmental Impact,"Documentation of assessments of the environmental impacts (e.g. impacts on flora, fauna & woodlands, areas of natural beauty, carbon emissions etc.) and mitigation measures (e.g. pollution control, low carbon solutions, sustainable timber etc.) for this contracting process or project.",OC4IDS
finalAudit,Final Audit,Documentation of a final audit carried out at the end of contract implementation.,OCDS for PPPs
tenderNotice,Tender Notice,"The formal notice that gives details of a tender. This may be a link to a downloadable document, to a web page, or to an official gazette in which the notice is contained.",OCDS for PPPs
evaluationCommittee,Evaluation Committee Details,Information on the constitution of the evaluation committee,OCDS for PPPs
requestForQualification,Request for Qualification,"The set of documents issued by the procuring authority that constitute the basis of the qualification and potentially the pre-selection of candidates (the short list). Qualified (or short-listed candidates) will then be invited to submit a proposal (or to enter into a new phase prior to bid submission, such as a dialogue phase or interactive phase).",OCDS for PPPs
evaluationCriteria,Evaluation Criteria,Documentation on how bids will be evaluated.,OCDS for PPPs
minutes,Minutes,"Minutes of pre-bid meetings, or other relevant meetings.",OCDS for PPPs
shortlistedFirms,Shortlisted Firms,Documentation providing information on shortlisted firms. Structured versions of this information can be provided using the bids extension.,OCDS for PPPs
negotiationParameters,Negotiation Parameters,A description of the parameters for negotiation with the preferred proponent,OCDS for PPPs
evaluationReports,Evaluation report,"Documentation on the evaluation of the bids and the application of the evaluation criteria, including the justification for the award",OCDS for PPPs
contractGuarantees,Guarantees,Documentation of guarantees relating to a contracting process or contract.,OCDS for PPPs
defaultEvents,Defaults,Information on events of default,OCDS for PPPs
termination,Termination,Information on contract termination,OCDS for PPPs
performanceReport,Performance report,Performance assessment reports,OCDS for PPPs
awardNotice,Award Notice,"The formal notice that gives details of the contract award. This may be a link to a downloadable document, to a web page, or to an official gazette in which the notice is contained.",OCDS
contractNotice,Contract Notice,"The formal notice that gives details of a contract being signed and valid to start implementation. This may be a link to a downloadable document, to a web page, or to an official gazette in which the notice is contained.",OCDS
completionCertificate,Completion certificate,A completion certificate issued by a relevant authority providing evidence that works were completed to a certain level of quality. Completion certificates may only be relevant for particular kinds of contracting processes.,OCDS
procurementPlan,Procurement Plan,Documentation that sets out the basis for this particular contracting process.,OCDS
biddingDocuments,Bidding Documents,"Documentation for potential suppliers, describing the goals of the contract (e.g. goods and services to be procured), and the bidding process.",OCDS
contractArrangements,Arrangements for ending contract,Documentation of the arrangements for ending the contract(s).,OCDS
physicalProgressReport,Physical progress reports,"Documentation on the status of implementation, usually against key milestones.",OCDS
financialProgressReport,Financial progress reports,"Documentation providing dates and amounts of stage payments made (against total amount) and the source of those payments, including cost overruns, if any. Structured versions of this information can be provided through contract implementation transactions.",OCDS
hearingNotice,Public Hearing Notice,Documentation of any public hearings that took place as part of the planning for this contracting process.,OCDS
marketStudies,Market Studies,Documentation of any market studies that took place as part of the planning for this contracting process.,OCDS
eligibilityCriteria,Eligibility Criteria,Detailed documents about the eligibility of bidders.,OCDS
clarifications,Clarifications to bidders questions,Documentation that provides replies to issues raised in pre-bid conferences or an enquiry processes.,OCDS
assetAndLiabilityAssessment,Assessment of government's assets and liabilities,Documentation covering assessments of the government's assets and liabilities related to this contracting process.,OCDS
riskProvisions,Provisions for management of risks and liabilities,Documentation covering how risks will be managed as part of this contracting process.,OCDS for PPPs
winningBid,Winning Bid,"Documentation of the winning bid, including, wherever applicable, a full copy of the proposal received.",OCDS
complaints,Complaints and decisions,"Documentation of any complaints received, or decisions in response to complaints.",OCDS
